"","Soil","Species","Survival Rate","Count"
"1","N","ARTCAL",0.411764705882353,17
"2","N","ENCCAL",0.521739130434783,23
"3","N","ERIFAS",0.5,2
"4","N","SALMEL",0.533333333333333,15
"5","S","ARTCAL",0.777777777777778,9
"6","S","ENCCAL",0.388888888888889,18
"7","S","ERIFAS",0,2
"8","S","SALMEL",0.333333333333333,9
