"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",11.8714285714286,3.09483449313505,3.83588479376255,0.000500505788064882
"SpeciesENCCAL",19.084126984127,3.89424800462246,4.90059363488772,2.16538350909556e-05
"SpeciesERIFAS",12.4619047619048,8.75351382698331,1.4236459789999,0.163403206777949
"SpeciesSALMEL",14.4190476190476,4.37675691349165,3.29445932320342,0.00226350155836236
"SoilS",-0.0380952380952507,4.55547302737195,-0.00836252083293044,0.993375236391316
"SpeciesENCCAL:SoilS",-11.534126984127,6.12485391237503,-1.88316768842808,0.0680094364833232
"SpeciesSALMEL:SoilS",-3.83015873015872,7.2580302403229,-0.527713250473908,0.601028153928914
