"","Species","Soil","mean_percent_height_change","mean_height_change","count","sd_percent_height_change","se_percent_height_change"
"1","ARTCAL","N",0.55462962962963,2.66666666666667,6,0.585400414422702,0.238988718424905
"2","ARTCAL","S",0.5217377860235,3.52857142857143,7,1.18931295120232,0.449518042844232
"3","ENCCAL","N",0.774807111147323,-2.54166666666667,12,2.60638048946959,0.752397238602929
"4","ENCCAL","S",-0.12369086270872,-4.08571428571429,7,0.301593843322408,0.113991758054181
"5","ERIFAS","N",0.875,7,1,NA,NA
"6","SALMEL","N",0.104373846827407,1.4375,8,0.204265626590258,0.0722188048626453
"7","SALMEL","S",0.08125,1.76666666666667,3,0.0783122755383854,0.045213613362939
